,Name,Rating,Price
0,Cottage for holiday rental Lot et Garonne - AT003076,"Bedrooms 2, Sleeps 5, Ratings 1 10/10",£550 to £845 pw
1,Detached holiday property in Finistere - BF003685,"Bedrooms 6, Sleeps 12, Ratings 15 9.7/10",£1500 to £2750 pw
2,"Mobile homes to rent 200m beach, Brittany - BF002550_B","Bedrooms 3, Sleeps 6",€350 to €850 pw
3,"Large luxury villa & private pool, Dordogne - AD004166","Bedrooms 4, Sleeps 8, Ratings 3 9.4/10",£900 to £1600 pw
4,"Holiday rental with pool, Aquitaine, Dordogne - AD004150","Bedrooms 4, Sleeps 8, Ratings 1 9.5/10",£975 to £1600 pw
5,Mobile home to let with large plot in Vendée - LV004695,"Bedrooms 3, Sleeps 8",£169 to £650 pw
6,Spacious gite to let in Charente Maritime - PM006658,"Bedrooms 2, Sleeps 4, Ratings 1 9.5/10",£350 to £550 pw
7,Cottage for holiday let St Jean-d'Angély - PM002399_A,"Bedrooms 20, Sleeps 40",£560 to £1590 pw
8,"5 Bed Farmhouse to let, heated pool, Lot - ML007218","Bedrooms 5, Sleeps 10",£1495 to £1950 pw
9,"Large holiday let with heated pool, Aquitaine - AL004821","Bedrooms 4, Sleeps 8, Ratings 3 9.3/10",£1300 to £1700 pw
10,Harbour retreat for 2 in Charente Maritime - PM004288,"Bedrooms 1, Sleeps 2, Ratings 12 9.9/10",£584 to £684 pw
11,LArge Vendée holiday let with heated pools - LV005293,"Bedrooms 5, Sleeps 11, Ratings 3 9.1/10",£1150 to £2050 pw
12,Holiday gite with pool and hot tub nr Sarlat - AD006925,"Bedrooms 2, Sleeps 5, Ratings 1 10/10",£375 to £800 pw
13,Gite for holiday rental Deux Sevres - PS003202,"Bedrooms 2, Sleeps 4, Ratings 2 9.3/10",£340 to £600 pw
14,"Manor house, pool & carp lake for holiday - US003910","Bedrooms 6, Sleeps 12, Ratings 15 9.4/10",£1150 to £1900 pw
15,"Villa to let, private pool in rural Aquitaine - AT006779","Bedrooms 4, Sleeps 6",€1550 to €1790 pw
